district,locality,latitude,longitude,provice,id,zip_code,property_sub_type,property_type,price,nb_bedrooms,living_area,surface_of_the_plot,nb_facades,state_of_building,fireplace,equipped_kitchen,garden,garden_surface,terrace,terrace_surface,furnished,swimming_pool
Liège,Herstal,50.6565619,5.6132184,Liège,20433941,4040,Apartment,APARTMENT,113500.0,1,55,,2,Good,0,0,0,,0,,0,0
Courtrai,Wevelgem,50.8071883,3.1769444,Flandre Occidentale,20416904,8560,Apartment,APARTMENT,189000.0,2,75,,,Just renovated,0,0,0,,0,,0,0
Huy,Huy,50.518683,5.2392533,Liège,20435158,4500,Apartment,APARTMENT,189500.0,2,170,,2,Good,0,1,0,,0,,0,0
Bruges,Blankenberge,51.3157456,3.136525,Flandre Occidentale,20443092,8370,Apartment,APARTMENT,209000.0,2,83,,2,Good,0,0,0,,1,5,0,0
Gand,Gent,51.0670799,3.7291675,Flandre Orientale,20448651,9000,Ground_Floor,APARTMENT,229000.0,1,37,,2,As new,0,1,0,,0,,0,0
Ostende,Oostende,51.2188343,2.902415,Flandre Occidentale,20438425,8400,Duplex,APARTMENT,235000.0,3,131,,3,Good,1,1,0,,0,,0,0
Liège,Chênée,50.6109624,5.6139676,Liège,20429138,4032,Loft,APARTMENT,239000.0,2,150,,3,Good,0,0,0,,0,,0,0
Anvers,Antwerpen,51.2540995,4.4556036,Anvers,20429674,2170,Ground_Floor,APARTMENT,245000.0,1,70,,,As new,0,1,1,200,1,30,0,0
Hal-Vilvorde,Zellik,50.8777999,4.285601,Brabant Flamand,20397763,1731,Apartment,APARTMENT,224750.0,2,76,,2,Good,0,1,0,,1,3,0,0
Gand,GENT,51.0547093,3.7533851,Flandre Orientale,20452464,9000,Apartment,APARTMENT,188500.0,1,55,,2,To be done up,0,0,0,,0,,0,0
Gand,SINT-AMANDSBERG,51.0547093,3.7533851,Flandre Orientale,20452465,9040,Apartment,APARTMENT,188500.0,1,55,,2,To be done up,0,0,0,,0,,0,0
Bruges,Blankenberge,51.31255050000001,3.1427696,Flandre Occidentale,20460338,8370,Apartment,APARTMENT,169000.0,2,90,,,As new,0,0,0,,0,,0,0
Bruges,Blankenberge,51.3149605,3.1367982,Flandre Occidentale,20459810,8370,Apartment,APARTMENT,188000.0,2,59,,,As new,0,0,0,,0,,0,0
Anvers,Stabroek,51.333996,4.362142599999999,Anvers,20461560,2940,Ground_Floor,APARTMENT,245000.0,2,75,,2,As new,0,0,0,,0,,0,0
Dixmude,Diksmuide,51.0980128,2.8951909,Flandre Occidentale,20462977,8600,Apartment,APARTMENT,275000.0,2,99,,,As new,0,0,0,,0,,0,0
Marche-En-Famenne,Durbuy,50.3686944,5.4659076,Luxembourg,20427527,6940,Apartment,APARTMENT,79000.0,1,45,,,To be done up,0,0,0,,0,,0,0
Termonde,Wetteren,51.0022807,3.879036199999999,Flandre Orientale,20374697,9230,Duplex,APARTMENT,235000.0,2,73,,2,Good,0,1,0,,1,5,0,0
Gand,Gent,51.04892299999999,3.743632,Flandre Orientale,20375497,9000,Triplex,APARTMENT,299000.0,4,140,,,Good,0,0,0,,0,,0,0
Bruxelles,Jette,50.8692164,4.322909999999999,Bruxelles,20313470,1090,Apartment,APARTMENT,240000.0,2,101,,2,Good,0,1,0,,0,,0,0
Anvers,Antwerpen,51.2070964,4.4325993,Anvers,20457764,2018,Apartment,APARTMENT,249000.0,1,63,,2,As new,0,1,0,,0,,0,0
Bruxelles,Ixelles,50.81628019999999,4.3678763,Bruxelles,20459507,1050,Ground_Floor,APARTMENT,250000.0,1,50,,2,As new,0,1,0,,0,,0,0
Bruxelles,Ixelles,50.81628019999999,4.3678763,Bruxelles,20459511,1050,Apartment,APARTMENT,250000.0,1,50,,2,Good,0,1,0,,0,,0,0
Bruxelles,Evere,,,Bruxelles,20476646,1140,Apartment,APARTMENT,225500.0,2,87,,,Good,0,0,0,,1,14,0,0
Bruxelles,Schaerbeek,,,Bruxelles,20476564,1030,Apartment,APARTMENT,245000.0,2,92,,,To restore,0,0,0,,1,6,0,0
Ostende,De Haan,51.2571429,2.9994088,Flandre Occidentale,20231932,8420,Apartment,APARTMENT,73500.0,1,30,,,Good,0,0,0,,0,,0,0
Soignies,La Louvière,50.4763256,4.2134594,Hainaut,20302460,7100,Apartment,APARTMENT,95000.0,2,71,,4,To be done up,0,0,0,,0,,0,0
